userId,movieId,rating,timestamp
196,242,,881250949
186,302,3,891717742
22,377,1,878887116
244,51,2,880606923
166,346,1,886397596
298,474,4,884182806
115,265,2,881171488
253,465,5,
305,451,3,886324817
6,86,3,883603013
62,257,2,879372434
286,1014,5,879781125
200,222,5,876042340
210,40,3,891035994
224,29,3,888104457
303,785,3,879485318
122,387,5,879270459
194,274,2,879539794
291,1042,4,874834944
234,1184,2,892079237
119,392,4,886176814
167,486,4,892738452
299,144,4,877881320
291,118,2,874833878
308,1,4,887736532
95,546,2,879196566
38,95,5,892430094
102,768,2,883748450
63,277,4,875747401
160,234,5,876861185
50,246,3,877052329
301,98,4,882075827
225,193,4,879539727
290,88,4,880731963
97,194,3,884238860
157,274,4,886890835
181,1081,1,878962623
278,603,5,891295330
276,796,1,874791932
7,32,4,891350932
10,16,4,877888877
284,304,4,885329322
201,979,2,884114233
276,564,3,874791805
287,327,5,875333916
246,201,5,884921594
242,1137,5,879741196
249,241,5,879641194
99,4,5,886519097
178,332,3,882823437
251,100,4,886271884
81,432,2,876535131
260,322,4,890618898
25,181,5,885853415
59,196,5,888205088
72,679,2,880037164
87,384,4,879877127
290,143,5,880474293
42,423,5,881107687
292,515,4,881103977
115,20,3,881171009
20,288,1,879667584
201,219,4,884112673
13,526,3,882141053
246,919,4,884920949
138,26,5,879024232
167,232,1,892738341
60,427,5,883326620
57,304,5,883698581
223,274,4,891550094
189,512,4,893277702
243,15,3,879987440
92,1049,1,890251826
246,416,3,884923047
194,165,4,879546723
241,690,2,887249482
178,248,4,882823954
254,1444,3,886475558
293,5,3,888906576
127,229,5,884364867
225,237,5,879539643
299,229,3,878192429
225,480,5,879540748
276,54,3,874791025
291,144,5,874835091
222,366,4,878183381
267,518,5,878971773
42,403,3,881108684
11,111,4,891903862
95,625,4,888954412
8,338,4,879361873
162,25,4,877635573
87,1016,4,879876194
279,154,5,875296291
145,275,2,885557505
119,1153,5,874781198
62,498,4,879373848
62,382,3,879375537
28,209,4,881961214
135,23,,879857765
32,294,3,883709863
90,382,5,891383835
286,208,4,877531942
293,685,3,888905170
216,144,4,880234639
166,328,5,886397722
250,496,4,878090499
271,132,5,885848672
160,174,5,876860807
265,118,4,875320714
198,498,3,884207492
42,96,5,881107178
168,151,5,884288058
110,307,4,886987260
58,144,4,884304936
90,648,4,891384754
271,346,4,885844430
62,21,3,879373460
279,832,3,881375854
237,514,4,879376641
94,789,4,891720887
128,485,3,879966895
298,317,4,884182806
44,195,5,878347874
264,200,5,886122352
194,385,2,879524643
72,195,5,880037702
222,750,5,883815120
250,264,3,878089182
41,265,3,890687042
224,245,3,888082216
82,135,3,878769629
262,1147,4,879791710
293,471,3,888904884
216,658,3,880245029
250,140,3,878092059
59,23,5,888205300
286,379,5,877533771
244,815,4,880605185
7,479,4,891352010
174,368,1,886434402
87,274,4,879876734
194,1211,2,879551380
82,1134,2,884714402
13,836,2,882139746
13,272,4,884538403
244,756,2,880605157
305,427,5,886323090
95,787,2,888954930
43,14,2,883955745
299,955,4,889502823
57,419,3,883698454
84,405,3,883452363
269,504,4,
299,111,3,877878184
194,466,4,879525876
160,135,4,876860807
99,268,3,885678247
10,486,4,877886846
259,117,4,874724988
85,427,3,879456350
303,919,4,879467295
213,273,5,878870987
121,514,3,891387947
90,98,5,891383204
49,559,2,888067405
42,794,3,881108425
155,323,2,879371261
68,117,4,876973939
172,177,4,875537965
19,4,4,885412840
268,231,4,875744136
5,2,3,875636053
305,117,2,886324028
44,294,4,883612356
43,137,4,875975656
279,1336,1,875298353
80,466,5,887401701
254,164,4,886472768
298,281,3,884183336
279,1240,1,892174404
66,298,4,883601324
18,443,3,880130193
268,1035,2,875542174
99,79,4,885680138
13,98,4,881515011
26,258,3,891347949
7,455,4,891353086
222,755,4,878183481
200,673,5,884128554
119,328,4,876923913
213,172,5,878955442
276,322,3,874786392
94,1217,3,891723086
130,379,4,875801662
38,328,4,892428688
160,719,3,876857977
293,1267,3,888906966
26,930,2,891385985
130,216,,875216545
92,1079,3,886443455
256,452,4,882164999
1,61,4,878542420
72,48,4,880036718
56,755,3,892910207
13,360,4,882140926
15,405,2,879455957
92,77,3,875654637
207,476,2,884386343
292,174,5,881105481
232,483,5,888549622
251,748,2,886272175
224,26,3,888104153
181,220,4,878962392
259,255,4,874724710
305,471,4,886323648
52,280,3,882922806
161,202,5,891170769
148,408,5,877399018
125,235,2,892838559
97,228,5,884238860
58,1098,4,884304936
83,234,4,887665548
90,347,4,891383319
272,178,5,879455113
194,181,3,879521396
125,478,4,879454628
110,688,1,886987605
299,14,4,877877775
151,10,5,879524921
269,127,4,891446165
6,14,5,883599249
54,106,3,880937882
303,69,5,879467542
16,944,1,877727122
301,790,4,882078621
276,1091,3,874793035
305,214,2,886323068
194,1028,2,879541148
91,323,2,891438397
87,554,4,879875940
294,109,4,877819599
286,171,4,877531791
200,318,5,884128458
229,328,1,891632142
178,568,4,882826555
303,842,2,879484804
62,65,4,879374686
207,591,3,876018608
92,172,4,875653271
301,401,4,882078040
36,339,5,882157581
70,746,3,884150257
63,242,3,875747190
28,201,3,881961671
279,68,4,875307407
250,7,4,878089716
14,98,3,890881335
299,1018,3,889502324
194,54,3,879525876
303,815,3,879485532
119,237,5,874775038
295,218,5,879966498
268,930,2,875742942
268,2,2,875744173
66,258,4,883601089
233,202,5,879394264
83,623,4,880308578
214,334,3,891542540
192,476,2,881368243
100,344,4,891374868
268,145,1,875744501
301,56,4,882076587
307,89,5,879283786
234,141,3,892334609
83,576,4,880308755
181,264,2,878961624
297,133,4,875240090
38,153,5,892430369
7,382,4,891352093
264,813,4,886122952
181,872,1,878961814
201,146,1,884140579
85,507,4,879456199
269,367,3,891450023
59,468,3,888205855
286,143,4,889651549
193,96,1,889124507
113,595,5,875936424
292,11,5,881104093
130,1014,3,876250718
275,98,4,875155140
189,520,5,893265380
219,82,1,889452455
215,211,4,891436202
181,938,1,878961586
189,1060,5,893264301
1,20,4,887431883
303,404,4,879468375
299,305,,879737314
187,210,4,879465242
222,278,2,877563913
214,568,4,892668197
293,770,3,888906655
285,191,4,890595859
303,252,3,879544791
96,156,4,884402860
72,1110,3,880037334
115,1067,4,881171009
7,430,3,891352178
116,350,3,886977926
73,480,4,888625753
269,246,5,891457067
263,419,5,891299514
70,431,3,884150257
221,475,4,875244204
72,182,5,880036515
25,357,4,885852757
290,50,5,880473582
189,526,4,893266205
299,303,3,877618584
264,294,3,
200,365,5,884129962
187,135,4,879465653
184,187,4,889909024
63,289,2,875746985
13,229,4,882397650
298,486,3,884183063
235,185,4,889655435
62,712,4,879376178
246,94,2,884923505
54,742,5,880934806
63,762,3,875747688
11,732,3,891904596
92,168,4,875653723
8,550,3,879362356
307,174,4,879283480
303,200,4,879468459
256,849,2,882164603
72,54,3,880036854
164,406,2,889402389
117,150,4,880125101
224,77,4,888103872
193,869,3,889127811
94,184,2,891720862
281,338,2,881200457
130,109,3,874953794
128,371,1,879966954
94,720,1,891723593
182,845,3,885613067
129,873,1,883245452
254,229,4,886474580
64,381,4,879365491
151,176,2,879524293
45,25,4,881014015
193,879,3,889123257
276,922,4,889174849
276,57,3,874787526
234,187,4,892079140
181,306,1,878962006
21,370,1,874951293
293,249,3,888905229
264,721,5,886123656
10,611,5,877886722
197,346,3,891409070
276,142,3,874792945
308,427,4,887736584
221,943,4,875246759
131,126,4,883681514
268,824,2,876518557
109,8,3,880572642
198,58,3,884208173
230,680,4,880484286
181,741,1,878962918
192,1061,4,881368891
234,448,3,892335501
90,900,4,891382309
193,941,4,889124890
128,603,5,879966839
126,905,2,887855283
